# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# [M1] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['mean_square_error', 'mean_absolute_error'], n_wait=1, output_file='results.csv', pretrain_size=92, restart_stream=False, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[M0],current_mse_[M0],mean_mse_[M1],current_mse_[M1],mean_mae_[M0],current_mae_[M0],mean_mae_[M1],current_mae_[M1]
152,3194.503221,2419.203573,3185.272259,5204.087078,41.142633,49.185400,41.268970,72.139359
153,3231.515091,5489.239192,3514.808644,23616.528083,41.674032,74.089400,43.081998,153.676700
154,3185.758783,348.867684,3490.228410,1966.253906,41.309016,18.678000,43.102005,44.342462
155,3154.975209,1215.610063,3445.150518,605.243319,41.208337,34.865600,42.812938,24.601693
156,3122.562569,1048.153575,3424.967580,2133.259541,41.072443,32.375200,42.864850,46.187223
157,3165.557236,5960.210566,3378.101787,331.825254,41.619867,77.202400,42.491383,18.216071
158,3118.402681,6.202092,3327.730157,3.202590,41.035845,2.490400,41.883894,1.789578
159,3117.697101,3070.423250,3305.469179,1813.983687,41.247250,55.411400,41.894291,42.590887
160,3153.409940,5581.882944,3263.062395,379.401081,41.732246,74.712000,41.569420,19.478221
161,3108.383377,1.550523,3216.512737,4.586307,41.153860,1.245200,41.006165,2.141566
162,3065.149288,38.763076,3171.487923,19.750963,40.661918,6.226000,40.491208,4.444206
163,3037.700753,1088.854805,3127.837535,28.659970,40.555472,32.997800,40.003184,5.353501
164,2996.221164,9.690769,3090.457002,399.058650,40.042562,3.113000,39.728845,19.976452
165,2959.550376,282.582824,3052.858847,308.193526,39.728611,16.810200,39.429205,17.555442
166,2974.921368,4112.374733,3044.579894,2431.937322,40.053933,64.127800,39.561011,49.314677
167,2938.246261,187.613288,3011.902649,561.109302,39.707134,13.697200,39.352152,23.687746
168,3099.445215,15350.565727,3188.168713,16584.389556,40.800514,123.897400,40.513558,128.780393
169,3061.900343,170.945165,3150.455432,246.532830,40.445054,13.074600,40.195453,15.701364
170,3344.708813,25403.769487,3123.319944,1006.751881,41.950630,159.385600,40.088287,31.729354
171,3317.029094,1130.331296,3087.350809,245.789115,41.846502,33.620400,39.783154,15.677663
172,3362.007722,6960.297927,3263.014897,17316.141979,42.359859,83.428400,40.916582,131.590813
173,3349.767939,2358.345544,3230.455298,593.127728,42.435505,48.562800,40.714602,24.354214
174,3390.783727,6754.078362,3204.231206,1053.855727,42.914393,82.183200,40.615187,32.463144
175,3382.207591,2670.388306,3175.900287,824.433932,43.018695,51.675800,40.473494,28.712958
176,3346.799421,372.513160,3138.649199,9.557812,42.739659,19.300600,40.033706,3.091571
177,3309.510297,139.934704,3102.917572,65.729320,42.380237,11.829400,39.662470,8.107362
178,3274.036332,223.275318,3068.484464,107.237174,42.064860,14.942400,39.325609,10.355538
179,3249.204723,1088.854805,3053.106301,1715.206136,41.961825,32.997800,39.349352,41.415047
180,3219.321371,589.586386,3019.891815,97.017058,41.763169,24.281400,39.017896,9.849724
181,3183.551134,0.000000,2986.473236,12.219635,41.299133,-0.000000,38.623204,3.495659
182,3216.193714,6154.025946,2969.474605,1439.597863,41.707358,78.447600,38.615719,37.942033
183,3181.273007,3.488677,2940.648366,317.460603,41.274320,1.867800,38.389650,17.817424
184,3171.140558,2238.955270,2912.865897,356.878754,41.339301,47.317600,38.179990,18.891235
185,3149.429822,1130.331296,2884.707160,265.944582,41.257185,33.620400,37.947307,16.307807
186,3117.599954,125.592366,2855.968740,154.557283,40.940865,11.206800,37.678726,12.432107
187,3090.955567,559.738817,2831.932667,548.505721,40.760844,23.658800,37.530200,23.420199
188,3070.742945,1130.331296,2803.377382,62.070006,40.687231,33.620400,37.224512,7.878452
189,3046.722398,716.729275,2781.110292,621.202610,40.545237,26.771800,37.098996,24.923936
190,3022.212164,620.209216,2753.504705,48.157140,40.387244,24.904000,36.794355,6.939535
191,3117.582408,12559.236624,2903.389668,17742.000984,41.104052,112.068000,37.758402,133.199103
192,3152.577944,6652.131472,2896.571626,2214.767452,41.504612,81.560600,37.850510,47.061316
193,3161.987716,4112.374733,2877.863404,988.333053,41.726408,64.127800,37.787640,31.437765
194,3163.838500,3352.618443,2853.638565,382.704941,41.883450,57.901800,37.610700,19.562846
195,3167.055126,3498.367609,2826.455088,26.557000,42.049446,59.147000,37.298610,5.153348
196,3137.025598,13.954707,2799.931279,41.455063,41.684552,3.735600,37.004705,6.438561
197,3107.665058,24.808369,2773.678098,17.094141,41.338291,4.980800,36.694609,4.134506
198,3096.883578,1954.046661,2756.319983,916.359783,41.365079,44.204600,36.634579,30.271435
199,3077.544171,1008.227607,2736.690932,636.382468,41.276074,31.752600,36.528950,25.226622
200,3207.637427,17257.709066,2880.165580,18375.427581,42.102611,131.368600,37.437455,135.555994
201,3197.256035,2065.684320,2854.477264,54.450829,42.133040,45.449800,37.164197,7.379080
202,3169.042103,65.509598,2885.533494,6301.718734,41.826380,8.093800,37.544550,79.383366
203,3148.392409,856.276349,2871.960055,1365.308341,41.714200,29.262200,37.539242,36.950079
204,3140.869137,2298.262776,2860.303291,1554.745710,41.769297,47.940200,37.555977,39.430264
205,3121.818328,969.076900,2846.820413,1323.255246,41.675970,31.130000,37.545631,36.376576
206,3096.020363,155.052304,2864.904363,4926.474616,41.421849,12.452000,37.829485,70.188850
207,3069.895270,65.509598,2865.544873,2939.203575,41.134538,8.093800,37.970735,54.214422
208,3046.072087,282.582824,2890.656374,5803.590491,40.926638,16.810200,38.297321,76.181300
209,3021.706604,170.945165,2870.740489,540.581963,40.690603,13.074600,38.169805,23.250419
210,2996.577961,31.398092,2863.296386,1984.892178,40.395753,5.603400,38.223438,44.552129
211,2984.023584,1490.052641,2877.682364,4589.613806,40.380798,38.601200,38.469465,67.746689
212,2987.069822,3352.618443,2854.542030,77.701946,40.525600,57.901800,38.224385,8.814871
213,2963.300536,87.216921,2866.521229,4316.004316,40.269972,9.339000,38.449565,65.696304
214,3052.976714,13993.470436,2916.825851,9053.989680,40.904314,118.294000,38.910564,95.152455
215,3037.137021,1088.854805,2893.516764,26.499047,40.840552,32.997800,38.638283,5.147722
216,3130.757202,14739.659649,2952.112446,10217.977047,41.485083,121.407000,39.137849,101.084010
217,3124.626951,2358.345544,2929.537313,107.645687,41.541256,48.562800,38.909574,10.375244
218,3121.559988,2735.122643,2906.555811,10.886493,41.625957,52.298400,38.629180,3.299469
219,3113.756129,2122.666042,2895.629054,1507.930952,41.660695,46.072400,38.630765,38.832087
220,3091.349301,223.275318,2886.662444,1738.936387,41.453577,14.942400,38.654562,41.700556
221,3074.728933,930.701455,2873.312597,1151.182300,41.369375,30.507400,38.618212,33.929077
222,3052.216440,125.592366,2854.319647,385.236225,41.139127,11.206800,38.473244,19.627436
223,3029.281531,24.808369,2833.578447,116.481226,40.865200,4.980800,38.263543,10.792647
224,3009.305829,372.513160,2812.522740,33.169437,40.703060,19.300600,38.019150,5.759291
225,2999.449215,1688.519591,2803.846097,1649.852493,40.705960,41.091600,38.038547,40.618376
226,2983.573860,856.276349,2787.046726,535.930991,40.621191,29.262200,37.928263,23.150183
227,2966.427047,651.607308,2773.693231,970.971520,40.510201,25.526600,37.878499,31.160416
228,2947.671623,396.933898,2753.728374,38.507727,40.359931,19.923200,37.647309,6.205459
229,2957.280011,4273.629129,2759.380532,3533.726187,40.541186,65.373000,37.805265,59.445153
230,2936.049234,6.202092,2741.082592,215.966838,40.267439,2.490400,37.639010,14.695810
231,3012.937608,13700.421581,2819.778189,13758.466242,40.815877,117.048800,38.207992,117.296489
232,2993.573390,282.582824,2799.829264,6.979770,40.645624,16.810200,37.955750,2.641925
233,2976.029700,502.369465,2786.051444,843.378862,40.517230,22.413600,37.892970,29.040986
234,2973.003237,2543.245416,2774.217091,1093.738865,40.586554,50.430600,37.859255,33.071723
235,2967.499208,2180.423025,2760.527841,802.965171,40.628974,46.695000,37.793126,28.336640
236,3061.582595,16609.590435,2874.860025,19338.694464,41.237589,128.878200,38.491543,139.063635
237,3040.878352,38.763076,2858.003530,413.811814,40.997784,6.226000,38.367234,20.342365
238,3026.523407,930.701455,2889.600605,7502.773459,40.926420,30.507400,38.695474,86.618551
239,3006.168213,13.954707,2871.342324,187.375043,40.675131,3.735600,38.526508,13.688500
240,2991.986556,893.101271,2911.434243,8845.038260,40.602713,29.884800,38.899136,94.048064
241,3010.503287,5769.496232,2927.304577,5291.984335,40.838409,75.957200,39.124782,72.746026
242,3290.823426,45338.844213,3101.477305,29227.386528,41.978083,212.929200,39.997864,170.960190
243,3372.203997,15660.670335,3227.542420,22263.374875,42.525218,125.142600,40.716359,149.209165
244,3410.248750,9193.051104,3275.108289,10505.120255,42.873945,95.880400,41.120138,102.494489
245,3502.301810,17586.419950,3439.069956,28525.205007,43.456671,132.613800,41.949839,168.894064
246,3586.864962,16609.590435,3532.172067,17869.897220,44.007778,128.878200,42.541635,133.678335
247,3691.912144,19974.225432,3628.841198,18612.556442,44.631640,141.330200,43.143470,136.427843
248,3707.594398,6154.025946,3707.819771,16028.477272,44.847028,78.447600,43.675063,126.603623
249,3701.854131,2800.632241,3772.069343,13859.252129,44.898129,52.921000,44.143736,117.725325
250,3694.567284,2543.245416,3823.992798,12027.898628,44.932925,50.430600,44.555862,109.671777
251,3675.161153,589.586386,3865.554374,10473.844972,44.803852,24.281400,44.917024,102.341805
252,3652.334065,0.000000,3898.834313,9223.624556,44.525568,-0.000000,45.234556,96.039703
253,3629.788793,0.000000,3925.131362,8158.956312,44.250719,-0.000000,45.512904,90.326941
254,3607.520150,0.000000,3945.505166,7246.061425,43.979242,-0.000000,45.755916,85.123801
255,3585.523076,0.000000,3960.827923,6458.437267,43.711076,-0.000000,45.966943,80.364403
256,3563.792633,0.000000,3971.823283,5775.062346,43.446160,-0.000000,46.148924,75.993831
257,3542.324003,0.000000,3979.096012,5179.096224,43.184436,-0.000000,46.304449,71.965938
258,3521.112482,0.000000,3983.154865,4656.924574,42.925847,-0.000000,46.435809,68.241663
259,3500.153479,0.000000,3984.430424,4197.448672,42.670336,-0.000000,46.545047,64.787720
260,3479.442512,0.000000,3983.289122,3791.550457,42.417849,-0.000000,46.633985,61.575567
261,3458.975203,0.000000,3980.044394,3431.685380,42.168332,-0.000000,46.704259,58.580589
262,3438.747278,0.000000,3974.965593,3111.569345,41.921733,-0.000000,46.757342,55.781443
263,3418.754561,0.000000,3968.285187,2825.935764,41.678002,-0.000000,46.794564,53.159531
264,3398.992974,0.000000,3960.204610,2570.345350,41.437089,-0.000000,46.817130,50.698573
265,3379.458532,0.000000,3950.899043,2341.036001,41.198945,-0.000000,46.826137,48.384254
266,3360.147340,0.000000,3940.521354,2134.803410,40.963522,-0.000000,46.822581,46.203933
267,3341.055594,0.000000,3929.217781,1951.092577,40.730775,-0.000000,46.807517,44.171174
268,3322.179574,0.000000,3917.281802,1816.549548,40.500658,-0.000000,46.783864,42.620999
269,3303.515643,0.000000,3904.785005,1692.851779,40.273126,-0.000000,46.752181,41.144280
270,3285.060249,0.000000,3891.791271,1578.906695,40.048136,-0.000000,46.712981,39.735459
271,3266.809914,0.000000,3878.357751,1473.757745,39.825647,-0.000000,46.666740,38.389553
272,3248.761240,0.000000,3864.535688,1376.564325,39.605615,-0.000000,46.613897,37.102080
273,3230.910904,0.000000,3850.371125,1286.585097,39.388002,-0.000000,46.554859,35.868999
274,3213.255653,0.000000,3835.905512,1203.164055,39.172767,-0.000000,46.490005,34.686655
275,3195.792307,0.000000,3821.176237,1125.718844,38.959872,-0.000000,46.419688,33.551734
276,3178.517754,0.000000,3806.217073,1053.730915,38.749278,-0.000000,46.344237,32.461222
277,3161.428949,0.000000,3791.058579,986.737188,38.540948,-0.000000,46.263958,31.412373
278,3144.522912,0.000000,3775.728442,924.322980,38.334847,-0.000000,46.179139,30.402680
279,3127.796726,0.000000,3760.251780,866.115961,38.130938,-0.000000,46.090047,29.429848
280,3111.247537,0.000000,3744.651405,811.780987,37.929187,-0.000000,45.996934,28.491771
281,3094.872550,0.000000,3728.948059,761.015658,37.729560,-0.000000,45.900037,27.586512
282,3078.669029,0.000000,3713.160617,713.546493,37.532023,-0.000000,45.799578,26.712291
283,3062.634294,0.000000,3697.306268,669.125615,37.336544,-0.000000,45.695765,25.867462
284,3046.765723,0.000000,3681.400680,627.527880,37.143090,-0.000000,45.588795,25.050507
285,3031.060745,0.000000,3665.458142,588.548380,36.951631,-0.000000,45.478852,24.260016
286,3015.516844,0.000000,3649.491692,552.000259,36.762135,-0.000000,45.366113,23.494686
287,3000.131554,0.000000,3633.513228,517.712807,36.574573,-0.000000,45.250742,22.753303
288,2984.902459,0.000000,3617.533617,485.529786,36.388916,-0.000000,45.132894,22.034740
289,2969.827195,0.000000,3601.562780,455.307957,36.205133,-0.000000,45.012717,21.337946
290,2954.903440,0.000000,3585.609780,426.915782,36.023198,-0.000000,44.890352,20.661940
291,2940.128923,0.000000,3569.682893,400.232276,35.843082,-0.000000,44.765929,20.005806
292,2925.501416,0.000000,3553.789674,375.145991,35.664758,-0.000000,44.639574,19.368686
293,2911.018735,0.000000,3537.937023,351.554115,35.488200,-0.000000,44.511407,18.749776
294,2896.678741,0.000000,3522.131233,329.361668,35.313381,-0.000000,44.381540,18.148324
295,2882.479336,0.000000,3506.378044,308.480785,35.140276,-0.000000,44.250079,17.563621
296,2868.418461,0.000000,3490.682689,288.830079,34.968860,-0.000000,44.117128,16.995002
297,2854.494100,0.000000,3475.049928,270.334068,34.799109,-0.000000,43.982782,16.441839
298,2840.704273,0.000000,3459.484096,252.922662,34.630997,-0.000000,43.847133,15.903542
299,2827.047041,0.000000,3443.989128,236.530701,34.464502,-0.000000,43.710270,15.379555
300,2813.520500,0.000000,3428.568594,221.097542,34.299600,-0.000000,43.572275,14.869349
301,2800.122783,0.000000,3413.225728,206.566683,34.136269,-0.000000,43.433228,14.372428
302,2786.852059,0.000000,3397.963451,192.885428,33.974485,-0.000000,43.293205,13.888320
303,2773.706531,0.000000,3382.784400,180.004578,33.814228,-0.000000,43.152277,13.416578
304,2760.684434,0.000000,3367.690943,167.878158,33.655476,-0.000000,43.010514,12.956780
305,2747.784040,0.000000,3352.685206,156.463165,33.498207,-0.000000,42.867982,12.508524
306,2735.003649,0.000000,3337.769086,145.719337,33.342402,-0.000000,42.724742,12.071426
307,2722.341595,0.000000,3322.944270,135.608952,33.188039,-0.000000,42.580855,11.645126
308,2709.796242,0.000000,3308.832216,260.628472,33.035099,-0.000000,42.459026,16.143992
309,2697.365984,0.000000,3294.753130,239.591368,32.883561,-0.000000,42.335263,15.478739
310,2685.049244,0.000000,3280.713992,220.182014,32.733408,-0.000000,42.209707,14.838531
311,2672.844475,0.000000,3266.721056,202.268120,32.584620,-0.000000,42.082491,14.222100
312,2660.750156,0.000000,3252.779918,185.729510,32.437178,-0.000000,41.953739,13.628261
313,2648.764795,0.000000,3238.895580,170.456848,32.291065,-0.000000,41.823568,13.055912
314,2636.886926,0.000000,3225.072508,156.350530,32.146262,-0.000000,41.692091,12.504021
315,2625.115109,0.000000,3211.314683,143.319690,32.002752,-0.000000,41.559410,11.971620
316,2613.447931,0.000000,3197.625646,131.281329,31.860517,-0.000000,41.425625,11.457806
317,2601.884002,0.000000,3184.008539,120.159542,31.719542,-0.000000,41.290829,10.961731
318,2590.421958,0.000000,3170.466144,109.884829,31.579808,-0.000000,41.155110,10.482596
319,2579.060458,0.000000,3157.000913,100.393478,31.441300,-0.000000,41.018551,10.019655
320,2567.798186,0.000000,3143.615001,91.627023,31.304002,-0.000000,40.881231,9.572201
321,2556.633846,0.000000,3130.310291,83.531755,31.167897,-0.000000,40.743223,9.139571
322,2545.566167,0.000000,3117.088421,76.058281,31.032971,-0.000000,40.604600,8.721140
323,2534.593899,0.000000,3103.950803,69.161138,30.899209,-0.000000,40.465426,8.316318
324,2523.715813,0.000000,3090.898647,62.798436,30.766594,-0.000000,40.325766,7.924546
325,2512.930703,0.000000,3077.932976,56.931545,30.635113,-0.000000,40.185678,7.545300
326,2502.237381,0.000000,3065.054643,51.524809,30.504751,-0.000000,40.045220,7.178078
327,2491.634680,0.000000,3052.264349,46.545292,30.375493,-0.000000,39.904446,6.822411
328,2481.121454,0.000000,3039.562654,41.962543,30.247327,-0.000000,39.763405,6.477850
329,2470.696574,0.000000,3026.949989,37.748387,30.120237,-0.000000,39.622147,6.143972
330,2460.358931,0.000000,3014.426670,33.876738,29.994211,-0.000000,39.480717,5.820373
331,2450.107436,0.000000,3001.992906,30.323426,29.869235,-0.000000,39.339159,5.506671
332,2439.941015,0.000000,2989.648811,27.066039,29.745296,-0.000000,39.197513,5.202503
333,2429.858614,0.000000,2977.394411,24.083784,29.622382,-0.000000,39.055819,4.907523
334,2419.859196,0.000000,2965.229649,21.357358,29.500479,-0.000000,38.914113,4.621402
335,2409.941740,0.000000,2953.154400,18.868827,29.379575,-0.000000,38.772432,4.343826
336,2400.105243,0.000000,2941.168470,16.601525,29.259659,-0.000000,38.630807,4.074497
337,2390.348718,0.000000,2929.271606,14.539952,29.140717,-0.000000,38.489272,3.813129
338,2380.671192,0.000000,2917.463501,12.669686,29.022738,-0.000000,38.347856,3.559450
339,2371.071712,0.000000,2905.743798,10.977301,28.905711,-0.000000,38.206587,3.313201
340,2361.549335,0.000000,2894.112098,9.450295,28.789624,-0.000000,38.065493,3.074133
341,2352.103138,0.000000,2882.567957,8.077016,28.674466,-0.000000,37.924599,2.842009
342,2342.732209,0.000000,2871.110900,6.846605,28.560225,-0.000000,37.783930,2.616602
343,2333.435653,0.000000,2859.740416,5.748935,28.446890,-0.000000,37.643508,2.397694
344,2324.212587,0.000000,2848.455966,4.774560,28.334452,-0.000000,37.503356,2.185077
345,2315.062144,0.000000,2837.256985,3.914665,28.222899,-0.000000,37.363495,1.978551
346,2305.983469,0.000000,2826.142883,3.161021,28.112221,-0.000000,37.223943,1.777926
347,2296.975721,0.000000,2815.113051,2.505944,28.002408,-0.000000,37.084721,1.583017
348,2288.038072,0.000000,2804.166861,1.942258,27.893449,-0.000000,36.945845,1.393649
349,2279.169707,0.000000,2793.303669,1.463258,27.785335,-0.000000,36.807333,1.209652
350,2270.369824,0.000000,2782.522816,1.062680,27.678056,-0.000000,36.669200,1.030864
351,2261.637633,0.000000,2771.823630,0.734669,27.571602,-0.000000,36.531461,0.857128
352,2252.972354,0.000000,2761.205432,0.473749,27.465963,-0.000000,36.394131,0.688295
353,2244.373223,0.000000,2750.667528,0.274805,27.361131,-0.000000,36.257223,0.524219
354,2235.839485,0.000000,2740.209222,0.133051,27.257097,-0.000000,36.120750,0.364761
355,2227.370396,0.000000,2729.829809,0.044011,27.153850,-0.000000,35.984723,0.209789
356,2218.965225,0.000000,2719.528577,0.003501,27.051383,-0.000000,35.849155,0.059171
357,2210.623250,0.000000,2709.304814,0.007606,26.949686,-0.000000,35.714712,0.087215
358,2202.343762,0.000000,2699.157803,0.052665,26.848751,-0.000000,35.581808,0.229490
359,2194.126062,0.000000,2689.086823,0.135254,26.748569,-0.000000,35.450413,0.367769
360,2185.969459,0.000000,2679.091155,0.252169,26.649132,-0.000000,35.320494,0.502165
361,2177.873276,0.000000,2669.170078,0.400415,26.550431,-0.000000,35.192021,0.632784
362,2169.836843,0.000000,2659.322872,0.577191,26.452459,-0.000000,35.064964,0.759731
363,2161.859502,0.000000,2649.548817,0.779878,26.355207,-0.000000,34.939296,0.883107
364,2153.940603,0.000000,2639.847195,1.006025,26.258668,-0.000000,34.814987,1.003008
365,2146.079506,0.000000,2630.217290,1.253344,26.162834,-0.000000,34.692011,1.119528
366,2138.275580,0.000000,2620.658390,1.519695,26.067696,-0.000000,34.570341,1.232759
367,2130.528205,0.000000,2611.169784,1.803079,25.973248,-0.000000,34.449951,1.342788
368,2122.836767,0.000000,2601.750765,2.101628,25.879482,-0.000000,34.330816,1.449699
369,2115.200664,0.000000,2592.400632,2.413598,25.786390,-0.000000,34.212913,1.553576
370,2107.619299,0.000000,2583.118684,2.737362,25.693966,-0.000000,34.096216,1.654498
371,2100.092088,0.000000,2573.904230,3.071401,25.602201,-0.000000,33.980703,1.752541
372,2092.618450,0.000000,2564.756579,3.414296,25.511090,-0.000000,33.866351,1.847781
373,2085.197817,0.000000,2555.675047,3.764728,25.420626,-0.000000,33.753138,1.940291
374,2077.829627,0.000000,2546.658957,4.121466,25.330800,-0.000000,33.641042,2.030139
375,2070.513326,0.000000,2537.707634,4.483364,25.241607,-0.000000,33.530044,2.117396
376,2063.248367,0.000000,2528.820412,4.849355,25.153040,-0.000000,33.420121,2.202125
377,2056.034212,0.000000,2519.996629,5.218448,25.065092,-0.000000,33.311255,2.284392
378,2048.870329,0.000000,2511.235630,5.589721,24.977757,-0.000000,33.203426,2.364259
379,2041.756196,0.000000,2502.536764,5.962318,24.891029,-0.000000,33.096614,2.441786
